round,accuracy,reward
10,0.9173,-0.10292928765971834
20,0.9255,-0.03569035931749838
30,0.9247,-0.012324393502521059
40,0.9258,-0.0028414825974710767
50,0.9257,-0.00043670646453773914
60,0.9251,-0.0035603968846442896
70,0.9251,-0.00015869116843821807
80,0.9247,-0.00011804040768652092
90,0.9247,-9.352672083732645e-05
100,0.9247,-7.724641050548529e-05
