round,accuracy,reward
10,0.9871,-0.013458685341252746
20,0.9898,-0.0051414670274701835
30,0.9902,-0.0017917096257648595
40,0.9902,-0.0010148450172201078
50,0.9904,-0.0014717823442569626
60,0.9905,-0.0004122902269814509
70,0.9907,-0.0002458915768845871
80,0.9905,-0.0001971588784059731
90,0.9906,-0.00033815647870572257
100,0.9902,-0.00012897191328718115
