round,accuracy
5,0.5055
10,0.6306
15,0.7135
20,0.7396
25,0.7389
30,0.7917
35,0.7931
40,0.8019
45,0.7941
50,0.7957
55,0.8228
60,0.8228
65,0.8429
70,0.837
75,0.809
80,0.8367
85,0.8177
90,0.8522
95,0.838
100,0.8515
