round,accuracy,client_reward,server_reward,pre_losses,post_losses
27,0.991700,0.013739,-0.000100,"0.014796,0.001441,0.008395,0.019661,0.009906,0.019754,0.007695,0.014732,0.016643,0.030571","0.002758,0.000000,0.000182,0.000175,0.000001,0.000222,0.000004,0.000032,0.000195,0.002584"
28,0.991600,0.012856,-0.000100,"0.009703,0.000498,0.014687,0.016220,0.009901,0.017183,0.008614,0.016530,0.023224,0.024450","0.000003,0.000000,0.010752,0.000392,0.000130,0.000012,0.000004,0.000035,0.000528,0.000542"
29,0.991600,0.013411,0.000000,"0.010998,0.000315,0.009190,0.020452,0.011992,0.016253,0.008235,0.015394,0.022021,0.026604","0.000164,0.006092,0.000079,0.000508,0.000155,0.000010,0.000093,0.000019,0.000128,0.000028"
30,0.991400,0.015475,-0.000200,"0.019439,0.000215,0.014378,0.021003,0.012589,0.022546,0.004821,0.020945,0.031413,0.026925","0.000316,0.000009,0.002899,0.010558,0.000008,0.002037,0.003123,0.000273,0.000174,0.000034"
31,0.990900,0.014757,-0.000500,"0.015154,0.002637,0.011025,0.016682,0.009649,0.019676,0.004157,0.021572,0.029185,0.031378","0.000165,0.002089,0.000001,0.000195,0.000296,0.000008,0.000000,0.000037,0.000321,0.010369"
32,0.991500,0.015613,0.000600,"0.013377,0.000211,0.013808,0.014447,0.010511,0.020029,0.004133,0.023681,0.036168,0.023385","0.000102,0.001402,0.000001,0.000013,0.000001,0.001869,0.000069,0.000027,0.000019,0.000016"
33,0.991400,0.015503,-0.000100,"0.017463,0.000187,0.012617,0.017959,0.013552,0.016656,0.007027,0.024793,0.034847,0.024544","0.007845,0.000007,0.000001,0.000006,0.001574,0.000012,0.003688,0.001155,0.000013,0.000217"
34,0.990000,0.010467,-0.001400,"0.014078,0.000951,0.009059,0.014983,0.009385,0.017444,0.003350,0.015041,0.023634,0.025552","0.000108,0.005697,0.000286,0.011583,0.006671,0.000288,0.003273,0.000221,0.000011,0.000582"
35,0.991400,0.016024,0.001400,"0.019544,0.001548,0.010833,0.015278,0.016804,0.020161,0.004598,0.026201,0.038194,0.019464","0.000004,0.000000,0.000000,0.000002,0.000004,0.000006,0.000052,0.000924,0.000104,0.011189"
36,0.990800,0.012328,-0.000600,"0.013198,0.000363,0.007687,0.016929,0.014692,0.021995,0.004697,0.015933,0.027670,0.016301","0.000030,0.008577,0.004306,0.000120,0.000065,0.002887,0.000002,0.000011,0.000004,0.000092"
37,0.991800,0.013845,0.001000,"0.013388,0.000203,0.007860,0.020837,0.012861,0.021600,0.004161,0.017265,0.028187,0.022369","0.001324,0.000005,0.000024,0.000002,0.000064,0.008649,0.000041,0.000009,0.000000,0.000095"
38,0.990700,0.009981,-0.001100,"0.009529,0.000394,0.006311,0.018762,0.013451,0.017936,0.004858,0.015071,0.020482,0.022224","0.000823,0.013236,0.000028,0.003490,0.000003,0.000216,0.008974,0.000110,0.000015,0.002204"
39,0.991200,0.008842,0.000500,"0.011302,0.000408,0.011379,0.015490,0.016343,0.016814,0.005007,0.023954,0.026819,0.018336","0.000039,0.003072,0.000000,0.000185,0.000101,0.000012,0.000021,0.001750,0.052066,0.000008"
40,0.991400,0.015923,0.000200,"0.014462,0.000064,0.007672,0.024269,0.019714,0.020563,0.004394,0.019410,0.027760,0.021966","0.000041,0.000000,0.000018,0.000084,0.000000,0.000005,0.000478,0.000199,0.000066,0.000078"
41,0.991400,0.012913,0.000000,"0.013970,0.000186,0.007220,0.017144,0.012286,0.018847,0.002529,0.016743,0.022845,0.019974","0.000001,0.000000,0.002250,0.000081,0.000033,0.000000,0.000016,0.000017,0.000158,0.000006"
42,0.990900,0.011196,-0.000500,"0.012107,0.000253,0.004648,0.016508,0.014627,0.014791,0.002662,0.014396,0.024779,0.014518","0.000002,0.000000,0.000012,0.000143,0.006735,0.000005,0.000214,0.000111,0.000057,0.000005"
43,0.990600,0.012606,-0.000300,"0.010694,0.000089,0.005966,0.021643,0.011417,0.016825,0.002027,0.016137,0.031988,0.012777","0.000037,0.000000,0.000000,0.000064,0.000033,0.002108,0.001122,0.000009,0.000006,0.000044"
44,0.992000,0.011945,0.001400,"0.015555,0.000085,0.006451,0.021236,0.009054,0.019137,0.001232,0.017094,0.034739,0.017775","0.016220,0.000107,0.002691,0.002177,0.001434,0.000001,0.000014,0.000114,0.000032,0.000002"
45,0.991900,0.013885,-0.000100,"0.012580,0.000070,0.006350,0.016123,0.013586,0.018115,0.003931,0.019213,0.033281,0.020774","0.000001,0.000000,0.004539,0.000035,0.000030,0.000003,0.000000,0.000382,0.000084,0.000008"
46,0.990800,0.010209,-0.001100,"0.009304,0.000115,0.002365,0.019446,0.012802,0.013363,0.001683,0.011948,0.019482,0.014007","0.000094,0.000003,0.000000,0.000002,0.000037,0.000185,0.001924,0.000010,0.000068,0.000054"
47,0.991400,0.006198,0.000600,"0.008952,0.000853,0.000767,0.015171,0.010530,0.011523,0.001254,0.008843,0.018399,0.010955","0.000034,0.000000,0.012902,0.009265,0.001019,0.000001,0.000000,0.000196,0.000008,0.001774"
48,0.991500,0.008865,0.000100,"0.010087,0.001024,0.002633,0.014435,0.009228,0.009865,0.003020,0.011358,0.013556,0.014256","0.000000,0.000687,0.000000,0.000001,0.000000,0.000002,0.000014,0.000081,0.000000,0.000001"
49,0.991400,0.010650,-0.000100,"0.009291,0.000047,0.002634,0.015128,0.016408,0.014095,0.005714,0.016582,0.019974,0.012291","0.000000,0.001340,0.000000,0.000001,0.000491,0.002160,0.000000,0.000004,0.000001,0.001623"
50,0.991200,0.004540,-0.000200,"0.012125,0.000007,0.001716,0.021064,0.015007,0.022238,0.005534,0.016482,0.028863,0.010562","0.006669,0.006676,0.002586,0.000314,0.000020,0.061496,0.008579,0.000005,0.000042,0.001484"
51,0.990600,0.009519,-0.000600,"0.013632,0.000202,0.004759,0.014096,0.016804,0.020450,0.005644,0.025481,0.037510,0.010398","0.000012,0.000000,0.000000,0.000070,0.000013,0.000001,0.000008,0.050552,0.000001,0.002897"
52,0.991600,0.013419,0.001000,"0.016176,0.000412,0.002381,0.014517,0.022872,0.022665,0.002597,0.016282,0.032398,0.010268","0.000009,0.000000,0.000005,0.000000,0.000001,0.000003,0.000000,0.006242,0.000001,0.000021"
53,0.991400,0.010314,-0.000200,"0.008199,0.000046,0.001600,0.011655,0.018347,0.019508,0.002557,0.009427,0.024194,0.007839","0.000000,0.000000,0.000000,0.000053,0.000000,0.000073,0.000000,0.000042,0.000002,0.000000"
54,0.990800,0.003052,-0.000600,"0.008211,0.000028,0.000615,0.009281,0.012881,0.018727,0.001050,0.006625,0.013831,0.006366","0.000001,0.003137,0.000000,0.000032,0.000019,0.000001,0.000000,0.043685,0.000001,0.000000"
55,0.990800,0.010767,0.000000,"0.009317,0.000065,0.002281,0.018162,0.010358,0.021365,0.000939,0.008143,0.028909,0.008808","0.000000,0.000000,0.000000,0.000379,0.000000,0.000102,0.000009,0.000109,0.000001,0.000000"
56,0.991600,0.004316,0.000800,"0.007865,0.000006,0.001606,0.013164,0.010423,0.023023,0.001592,0.006474,0.027750,0.006717","0.000000,0.000000,0.000000,0.000008,0.000024,0.007931,0.013045,0.034209,0.000027,0.000007"
57,0.992000,0.007559,0.000400,"0.010685,0.000153,0.002188,0.011838,0.010714,0.018377,0.000617,0.002743,0.026621,0.007929","0.000000,0.000000,0.016047,0.000000,0.000000,0.000063,0.000000,0.000026,0.000030,0.000000"
58,0.992500,0.005056,0.000500,"0.007171,0.000015,0.000874,0.006777,0.011604,0.016796,0.001788,0.003563,0.025940,0.005657","0.005441,0.000000,0.000004,0.000000,0.000012,0.004235,0.000006,0.019820,0.000000,0.000000"
59,0.992400,0.006282,-0.000100,"0.005092,0.000038,0.001200,0.006551,0.010212,0.018315,0.001893,0.002464,0.020502,0.003637","0.000017,0.000000,0.000004,0.000033,0.000014,0.000040,0.000007,0.006904,0.000002,0.000011"
60,0.992200,0.005343,-0.000200,"0.004735,0.000040,0.001158,0.005945,0.008347,0.013131,0.001920,0.002774,0.020539,0.004010","0.003103,0.000000,0.000081,0.000000,0.000017,0.004306,0.000007,0.000001,0.000000,0.001617"
61,0.992000,0.006976,-0.000200,"0.003780,0.000073,0.000928,0.006303,0.013749,0.017607,0.002874,0.004796,0.019855,0.008662","0.000109,0.002760,0.000003,0.000000,0.000000,0.000048,0.000003,0.000011,0.005896,0.000000"
