round,accuracy
5,0.6106
10,0.6678
15,0.7059
20,0.9129
25,0.8968
30,0.8691
35,0.935
40,0.917
45,0.9423
50,0.9409
55,0.9499
60,0.8752
65,0.9513
70,0.9543
75,0.9566
80,0.958
85,0.9484
90,0.9236
95,0.9483
100,0.9593
