round,accuracy
5,0.9601
10,0.9739
15,0.9794
20,0.9819
25,0.9843
30,0.9854
35,0.9858
40,0.9868
45,0.9877
50,0.988
55,0.9884
60,0.9883
65,0.9884
70,0.9885
75,0.9886
80,0.9888
85,0.9885
90,0.9883
95,0.9882
100,0.9885
