Dataset,Best_Accuracy_Config,Best_Accuracy_Value,Fastest_Config,Fastest_Rounds,Most_Stable_Config,Stability_Value
MNIST,Dirichlet_FedRL-AC,0.9907,Dirichlet_FedAvg,10,Dirichlet_FedAvg,0.0006
FashionMNIST,Dirichlet_FedRL-AC,0.9209,Dirichlet_FedAvg,10,Dirichlet_FedAvg,0.0046
