round,accuracy
5,0.6949
10,0.7949
15,0.9487
20,0.9595
25,0.9682
30,0.9725
35,0.9759
40,0.9779
45,0.9792
50,0.9807
55,0.9827
60,0.9836
65,0.9838
70,0.9844
75,0.9856
80,0.9856
85,0.9864
90,0.9872
95,0.9872
100,0.9874
