round,accuracy
5,0.8266
10,0.86
15,0.8722
20,0.8831
25,0.8882
30,0.8937
35,0.8971
40,0.9002
45,0.9037
50,0.905
55,0.9073
60,0.9083
65,0.9103
70,0.911
75,0.9126
80,0.9139
85,0.9146
90,0.9157
95,0.916
100,0.917
