round,accuracy
5,0.9896
10,0.9911
15,0.9916
20,0.9921
25,0.9916
30,0.9912
35,0.9915
40,0.9913
45,0.9914
50,0.9915
55,0.9915
60,0.9915
65,0.9916
70,0.9916
75,0.9916
80,0.9916
85,0.9917
90,0.9917
95,0.9917
100,0.9917
