round,accuracy
5,0.8165
10,0.8618
15,0.8762
20,0.886
25,0.8924
30,0.8964
35,0.8992
40,0.9016
45,0.9044
50,0.9064
55,0.908
60,0.9092
65,0.9094
70,0.91
75,0.9107
80,0.9121
85,0.9124
90,0.9129
95,0.9133
100,0.915
