Dataset,Best_Accuracy_Config,Best_Accuracy_Value,Fastest_Config,Fastest_Rounds,Most_Stable_Config,Stability_Value
MNIST,MNIST-NonIID-Unequal_FedRL-DRL,0.9929,MNIST-IID_FedAvg,10.0,MNIST-IID_FedRL-AC,0.0002
FashionMNIST,IID_FedAvg,0.9282,IID_FedAvg,10.0,NonIID-Unequal_FedRL-AC,0.0014
