round,accuracy
5,0.9548
10,0.9718
15,0.9788
20,0.9825
25,0.9838
30,0.9848
35,0.9859
40,0.9867
45,0.9877
50,0.9882
55,0.9884
60,0.9889
65,0.9895
70,0.9893
75,0.9899
80,0.9898
85,0.9901
90,0.99
95,0.9902
100,0.9903
