Dataset,Best_Accuracy_Config,Best_Accuracy_Value,Fastest_Config,Fastest_Rounds,Most_Stable_Config,Stability_Value
MNIST,IID_FedRL-AC,0.9903,IID_FedAvg,5,IID_FedAvg,0.0002
FashionMNIST,NonIID-Unequal_FedAvg,0.9170,NonIID-Unequal_FedRL-PPO,5,IID_FedAvg,0.0022
