Algorithm,Max_Accuracy,Final_Accuracy,Convergence_Round,Stability
FedAvg,0.9418,0.9416,18.3333,0.0037
FedRL-AC,0.9444,0.9443,20.8333,0.0043
FedRL-PPO,0.9382,0.8024,10.8333,0.0454
