round,accuracy
5,0.9879
10,0.9906
15,0.9907
20,0.9917
25,0.9918
30,0.9918
35,0.9919
40,0.9918
45,0.9919
50,0.9919
55,0.9919
60,0.992
65,0.992
70,0.9917
75,0.9916
80,0.9917
85,0.9916
90,0.9916
95,0.9915
100,0.9915
